Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-01-14,ABBOTINDIA,755.0,825.0,720.0,785.1,2050,248877,Thursday,2010-01-08,,,False,False,,,False,False,,,False,True,,,False
2010-01-21,ABBOTINDIA,768.5,808.0,751.0,780.0,11032,764400,Thursday,2010-01-15,,,False,False,-5.100000000000023,-0.65,False,False,,,False,True,,,False
2010-01-28,ABBOTINDIA,775.0,787.95,736.1,752.45,1901,94056,Thursday,2010-01-22,,,False,False,-27.549999999999955,-3.53,False,False,,,False,True,,,False
2010-02-04,ABBOTINDIA,750.0,800.0,697.1,775.15,3916,251924,Thursday,2010-01-29,1,,False,False,22.699999999999932,3.02,True,True,177.29999999999995,24.29,True,True,,,False
2010-02-11,ABBOTINDIA,772.25,814.0,740.1,801.25,3201,842114,Thursday,2010-02-05,2,,True,False,26.100000000000023,3.37,True,True,177.29999999999995,24.29,True,True,,,False
2010-02-18,ABBOTINDIA,810.0,914.45,775.0,871.1,43881,33281246,Thursday,2010-02-12,3,,False,False,69.85000000000002,8.72,True,True,177.29999999999995,24.29,True,True,,,False
2010-02-25,ABBOTINDIA,860.0,940.0,845.0,916.2,40996,5029938,Thursday,2010-02-19,4,,True,False,45.10000000000002,5.18,True,True,177.29999999999995,24.29,True,True,,,False
2010-03-04,ABBOTINDIA,862.05,949.4,862.05,889.75,23991,5895484,Thursday,2010-02-26,1,,False,False,-26.450000000000045,-2.89,False,False,-23.799999999999955,-2.62,False,True,,,False
2010-03-11,ABBOTINDIA,895.0,899.9,853.3,868.45,4880,462015,Thursday,2010-03-05,2,,True,False,-21.299999999999955,-2.39,False,False,-23.799999999999955,-2.62,False,True,,,False
2010-03-18,ABBOTINDIA,860.05,930.0,860.05,882.05,17398,477189,Thursday,2010-03-12,3,,False,False,13.599999999999909,1.57,True,False,-23.799999999999955,-2.62,False,True,,,False
2010-03-25,ABBOTINDIA,880.05,925.05,873.15,891.7,9263,2046452,Thursday,2010-03-19,4,,True,False,9.650000000000091,1.09,True,False,-23.799999999999955,-2.62,False,True,,,False
2010-04-01,ABBOTINDIA,910.7,934.0,870.0,898.45,21290,1422246,Thursday,2010-03-26,1,,False,False,6.75,0.76,True,True,51.5,5.83,True,True,,,False
2010-04-08,ABBOTINDIA,905.0,916.0,888.0,902.2,4837,661313,Thursday,2010-04-02,2,,True,False,3.75,0.42,True,True,51.5,5.83,True,True,,,False
2010-04-15,ABBOTINDIA,872.05,907.5,864.0,900.0,7464,2668500,Thursday,2010-04-09,3,,False,False,-2.2000000000000455,-0.24,False,True,51.5,5.83,True,True,,,False
2010-04-22,ABBOTINDIA,900.15,950.0,872.05,935.8,31985,4762286,Thursday,2010-04-16,4,,True,False,35.799999999999955,3.98,True,True,51.5,5.83,True,True,,,False
2010-04-29,ABBOTINDIA,952.55,952.55,880.0,937.0,5894,1886181,Thursday,2010-04-23,5,,False,False,1.2000000000000455,0.13,True,True,51.5,5.83,True,True,,,False
2010-05-06,ABBOTINDIA,940.0,980.0,911.05,942.45,7247,1685101,Thursday,2010-04-30,1,,False,False,5.4500000000000455,0.58,True,False,81.54999999999995,8.72,True,True,,,False
2010-05-13,ABBOTINDIA,924.15,960.0,907.15,942.45,13554,291217,Thursday,2010-05-07,2,,True,False,0.0,0.0,False,False,81.54999999999995,8.72,True,True,,,False
2010-05-20,ABBOTINDIA,942.5,1165.8,899.0,1060.3,43534,1643465,Thursday,2010-05-14,3,,False,False,117.84999999999991,12.5,True,False,81.54999999999995,8.72,True,True,,,False
2010-05-27,ABBOTINDIA,1020.0,1218.0,1010.0,1028.0,550384,8941544,Thursday,2010-05-21,4,,True,False,-32.299999999999955,-3.05,False,False,81.54999999999995,8.72,True,True,,,False
2010-06-03,ABBOTINDIA,1060.0,1088.4,1005.0,1030.5,42742,2506176,Thursday,2010-05-28,1,,False,False,2.5,0.24,True,True,114.35000000000014,11.25,True,True,,,False
2010-06-10,ABBOTINDIA,1030.0,1211.85,1022.05,1147.05,139732,8957314,Thursday,2010-06-04,2,,True,False,116.54999999999995,11.31,True,True,114.35000000000014,11.25,True,True,,,False
2010-06-17,ABBOTINDIA,1159.0,1184.0,1085.0,1126.15,40392,3948282,Thursday,2010-06-11,3,,False,False,-20.899999999999864,-1.82,False,True,114.35000000000014,11.25,True,True,,,False
2010-06-24,ABBOTINDIA,1140.0,1143.55,1096.0,1117.25,29371,2928312,Thursday,2010-06-18,4,,True,False,-8.900000000000091,-0.79,False,True,114.35000000000014,11.25,True,True,,,False
2010-07-01,ABBOTINDIA,1105.0,1181.0,1049.85,1118.15,56078,9069315,Thursday,2010-06-25,1,,False,False,0.900000000000091,0.08,True,False,10.599999999999909,0.94,True,True,,,False
2010-07-08,ABBOTINDIA,1129.95,1268.7,1120.0,1226.45,64056,8352124,Thursday,2010-07-02,2,,True,False,108.29999999999995,9.69,True,False,10.599999999999909,0.94,True,True,,,False
2010-07-15,ABBOTINDIA,1236.0,1255.0,1214.0,1220.8,18263,2611291,Thursday,2010-07-09,3,,False,False,-5.650000000000091,-0.46,False,False,10.599999999999909,0.94,True,True,,,False
2010-07-22,ABBOTINDIA,1230.4,1233.0,1200.0,1204.5,14528,2305413,Thursday,2010-07-16,4,,True,False,-16.299999999999955,-1.34,False,False,10.599999999999909,0.94,True,True,,,False
2010-07-29,ABBOTINDIA,1192.0,1224.4,1150.0,1154.05,8915,2267708,Thursday,2010-07-23,5,,False,False,-50.450000000000045,-4.19,False,False,10.599999999999909,0.94,True,True,,,False
2010-08-05,ABBOTINDIA,1159.95,1186.0,1122.0,1156.55,20910,1888646,Thursday,2010-07-30,1,,False,False,2.5,0.22,True,True,-12.150000000000091,-1.06,False,True,,,False
2010-08-12,ABBOTINDIA,1155.95,1240.0,1134.4,1161.1,10514,712915,Thursday,2010-08-06,2,,True,False,4.5499999999999545,0.39,True,True,-12.150000000000091,-1.06,False,True,,,False
2010-08-19,ABBOTINDIA,1168.8,1189.95,1125.55,1159.0,7478,1477725,Thursday,2010-08-13,3,,False,False,-2.099999999999909,-0.18,False,True,-12.150000000000091,-1.06,False,True,,,False
2010-08-26,ABBOTINDIA,1166.0,1180.0,1125.0,1168.8,11159,2134229,Thursday,2010-08-20,4,,True,False,9.799999999999955,0.85,True,True,-12.150000000000091,-1.06,False,True,,,False
2010-09-02,ABBOTINDIA,1170.0,1185.0,1122.05,1131.6,15804,11984775,Thursday,2010-08-27,1,,False,False,-37.200000000000045,-3.18,False,False,-2.949999999999818,-0.26,False,True,,,False
2010-09-09,ABBOTINDIA,1139.95,1164.95,1120.0,1142.5,25674,1307020,Thursday,2010-09-03,2,,True,False,10.900000000000091,0.96,True,False,-2.949999999999818,-0.26,False,True,,,False
2010-09-16,ABBOTINDIA,1150.0,1154.95,1096.7,1121.65,12204,2308356,Thursday,2010-09-10,3,,False,False,-20.84999999999991,-1.82,False,False,-2.949999999999818,-0.26,False,True,,,False
2010-09-23,ABBOTINDIA,1144.95,1145.0,1099.0,1126.95,8646,960161,Thursday,2010-09-17,4,,True,False,5.2999999999999545,0.47,True,False,-2.949999999999818,-0.26,False,True,,,False
2010-09-30,ABBOTINDIA,1132.3,1160.0,1101.4,1126.4,13255,1403494,Thursday,2010-09-24,5,,False,False,-0.5499999999999545,-0.05,False,False,-2.949999999999818,-0.26,False,True,,,False
2010-10-07,ABBOTINDIA,1137.0,1154.45,1125.0,1140.2,10296,2181203,Thursday,2010-10-01,1,,False,False,13.799999999999955,1.23,True,True,69.29999999999995,6.15,True,True,,,False
2010-10-14,ABBOTINDIA,1125.1,1160.0,935.0,1147.8,6432,3417001,Thursday,2010-10-08,2,,True,False,7.599999999999909,0.67,True,True,69.29999999999995,6.15,True,True,,,False
2010-10-21,ABBOTINDIA,1131.0,1165.0,1090.0,1133.75,9562,1871821,Thursday,2010-10-15,3,,False,False,-14.049999999999955,-1.22,False,True,69.29999999999995,6.15,True,True,,,False
2010-10-28,ABBOTINDIA,1148.0,1198.0,1131.5,1180.05,9288,1576547,Thursday,2010-10-22,4,,True,False,46.299999999999955,4.08,True,True,69.29999999999995,6.15,True,True,,,False
2010-11-04,ABBOTINDIA,1161.35,1278.9,1161.35,1267.7,16487,3453215,Thursday,2010-10-29,1,,False,False,87.65000000000009,7.43,True,False,214.70000000000005,17.96,True,True,,,False
2010-11-11,ABBOTINDIA,1295.9,1533.5,1268.0,1443.35,33401,14582165,Thursday,2010-11-05,2,,True,False,175.64999999999986,13.86,True,False,214.70000000000005,17.96,True,True,,,False
2010-11-18,ABBOTINDIA,1458.0,1504.95,1392.25,1453.5,13498,3180258,Thursday,2010-11-12,3,,False,False,10.150000000000091,0.7,True,False,214.70000000000005,17.96,True,True,,,False
2010-11-25,ABBOTINDIA,1439.0,1699.0,1334.75,1400.6,196641,67926296,Thursday,2010-11-19,4,,True,False,-52.90000000000009,-3.64,False,False,214.70000000000005,17.96,True,True,,,False
2010-12-02,ABBOTINDIA,1385.0,1477.0,1292.05,1423.35,43030,10841657,Thursday,2010-11-26,1,,False,False,22.75,1.62,True,True,-100.20000000000005,-7.1,False,True,,,False
2010-12-09,ABBOTINDIA,1405.15,1445.0,1244.0,1254.65,23086,15044508,Thursday,2010-12-03,2,,True,False,-168.69999999999982,-11.85,False,True,-100.20000000000005,-7.1,False,True,,,False
2010-12-16,ABBOTINDIA,1306.75,1339.0,1230.05,1255.1,31088,13270172,Thursday,2010-12-10,3,,False,False,0.4499999999998181,0.04,True,True,-100.20000000000005,-7.1,False,True,,,False
2010-12-23,ABBOTINDIA,1252.0,1310.0,1246.25,1296.95,4099,833939,Thursday,2010-12-17,4,,True,False,41.850000000000136,3.33,True,True,-100.20000000000005,-7.1,False,True,,,False
2010-12-30,ABBOTINDIA,1298.0,1354.0,1290.0,1298.3,7043,3874127,Thursday,2010-12-24,5,,False,False,1.349999999999909,0.1,True,True,-100.20000000000005,-7.1,False,True,,,False
2011-01-06,ABBOTINDIA,1291.0,1349.9,1280.0,1299.9,9956,2070741,Thursday,2010-12-31,1,1,False,False,1.6000000000001364,0.12,True,False,-109.60000000000014,-8.37,False,False,150.70000000000005,11.5,True
2011-01-13,ABBOTINDIA,1304.95,1309.9,1264.0,1279.35,11076,1349714,Thursday,2011-01-07,2,2,True,True,-20.550000000000182,-1.58,False,False,-109.60000000000014,-8.37,False,False,150.70000000000005,11.5,True
2011-01-20,ABBOTINDIA,1267.0,1294.55,1202.6,1220.95,7978,553090,Thursday,2011-01-14,3,3,False,False,-58.399999999999864,-4.56,False,False,-109.60000000000014,-8.37,False,False,150.70000000000005,11.5,True
2011-01-27,ABBOTINDIA,1221.0,1257.9,1215.0,1227.0,4476,2646639,Thursday,2011-01-21,4,4,True,True,6.0499999999999545,0.5,True,False,-109.60000000000014,-8.37,False,False,150.70000000000005,11.5,True
2011-02-03,ABBOTINDIA,1215.0,1228.0,1190.0,1220.4,16537,1819616,Thursday,2011-01-28,1,5,False,False,-6.599999999999909,-0.54,False,True,34.05000000000018,2.84,True,False,150.70000000000005,11.5,True
2011-02-10,ABBOTINDIA,1229.9,1231.95,1101.65,1203.4,9269,1282824,Thursday,2011-02-04,2,6,True,True,-17.0,-1.39,False,True,34.05000000000018,2.84,True,False,150.70000000000005,11.5,True
2011-02-17,ABBOTINDIA,1260.0,1260.0,1143.0,1225.0,3058,268275,Thursday,2011-02-11,3,7,False,False,21.59999999999991,1.79,True,True,34.05000000000018,2.84,True,False,150.70000000000005,11.5,True
2011-02-24,ABBOTINDIA,1226.0,1274.65,1210.0,1216.45,8905,6798739,Thursday,2011-02-18,4,8,True,True,-8.549999999999955,-0.7,False,True,34.05000000000018,2.84,True,False,150.70000000000005,11.5,True
2011-03-03,ABBOTINDIA,1225.0,1285.0,1200.0,1272.15,10425,2684237,Thursday,2011-02-25,1,9,False,False,55.700000000000045,4.58,True,False,108.39999999999986,8.78,True,False,150.70000000000005,11.5,True
2011-03-10,ABBOTINDIA,1284.0,1284.9,1215.0,1241.25,9303,7425158,Thursday,2011-03-04,2,10,True,True,-30.90000000000009,-2.43,False,False,108.39999999999986,8.78,True,False,150.70000000000005,11.5,True
2011-03-17,ABBOTINDIA,1221.1,1257.95,1200.0,1216.6,7742,518272,Thursday,2011-03-11,3,11,False,False,-24.65000000000009,-1.99,False,False,108.39999999999986,8.78,True,False,150.70000000000005,11.5,True
2011-03-24,ABBOTINDIA,1223.0,1273.65,1220.0,1230.25,4043,590520,Thursday,2011-03-18,4,12,True,True,13.650000000000091,1.12,True,False,108.39999999999986,8.78,True,False,150.70000000000005,11.5,True
2011-03-31,ABBOTINDIA,1230.0,1360.0,1230.0,1343.05,9119,2173055,Thursday,2011-03-25,5,13,False,False,112.79999999999995,9.17,True,False,108.39999999999986,8.78,True,False,150.70000000000005,11.5,True
2011-04-07,ABBOTINDIA,1379.0,1421.0,1330.0,1402.05,7105,5674097,Thursday,2011-04-01,1,14,False,True,59.0,4.39,True,True,229.4000000000001,17.08,True,False,150.70000000000005,11.5,True
2011-04-14,ABBOTINDIA,1429.0,1477.0,1395.0,1470.3,10063,4859342,Thursday,2011-04-08,2,15,True,False,68.25,4.87,True,True,229.4000000000001,17.08,True,False,150.70000000000005,11.5,True
2011-04-21,ABBOTINDIA,1431.0,1507.0,1401.15,1428.9,8555,2816362,Thursday,2011-04-15,3,16,False,True,-41.399999999999864,-2.82,False,True,229.4000000000001,17.08,True,False,150.70000000000005,11.5,True
2011-04-28,ABBOTINDIA,1476.7,1683.1,1421.2,1577.9,92645,12943514,Thursday,2011-04-22,4,17,True,False,149.0,10.43,True,True,229.4000000000001,17.08,True,False,150.70000000000005,11.5,True
2011-05-05,ABBOTINDIA,1599.7,1599.9,1547.5,1585.9,11509,2876823,Thursday,2011-04-29,1,18,False,True,8.0,0.51,True,False,-140.95000000000005,-8.96,False,False,150.70000000000005,11.5,True
2011-05-12,ABBOTINDIA,1599.05,1600.0,1523.0,1533.8,5509,1200966,Thursday,2011-05-06,2,19,True,False,-52.100000000000136,-3.29,False,False,-140.95000000000005,-8.96,False,False,150.70000000000005,11.5,True
2011-05-19,ABBOTINDIA,1555.0,1595.1,1382.5,1440.2,290692,4094489,Thursday,2011-05-13,3,20,False,True,-93.59999999999991,-6.1,False,False,-140.95000000000005,-8.96,False,False,150.70000000000005,11.5,True
2011-05-26,ABBOTINDIA,1450.0,1465.0,1402.0,1419.95,7122,775293,Thursday,2011-05-20,4,21,True,False,-20.25,-1.41,False,False,-140.95000000000005,-8.96,False,False,150.70000000000005,11.5,True
2011-06-02,ABBOTINDIA,1468.0,1468.0,1410.05,1431.05,4348,1465395,Thursday,2011-05-27,1,22,False,True,11.099999999999909,0.78,True,True,50.65000000000009,3.54,True,False,150.70000000000005,11.5,True
2011-06-09,ABBOTINDIA,1455.0,1470.0,1390.0,1440.25,5584,571779,Thursday,2011-06-03,2,23,True,False,9.200000000000045,0.64,True,True,50.65000000000009,3.54,True,False,150.70000000000005,11.5,True
2011-06-16,ABBOTINDIA,1455.0,1505.0,1411.05,1435.45,9467,9037593,Thursday,2011-06-10,3,24,False,True,-4.7999999999999545,-0.33,False,True,50.65000000000009,3.54,True,False,150.70000000000005,11.5,True
2011-06-23,ABBOTINDIA,1465.0,1480.0,1382.0,1438.15,7367,2076689,Thursday,2011-06-17,4,25,True,False,2.7000000000000455,0.19,True,True,50.65000000000009,3.54,True,False,150.70000000000005,11.5,True
2011-06-30,ABBOTINDIA,1470.0,1495.0,1430.0,1482.15,5609,4308610,Thursday,2011-06-24,5,26,False,True,44.0,3.06,True,True,50.65000000000009,3.54,True,False,150.70000000000005,11.5,True
2011-07-07,ABBOTINDIA,1485.9,1525.0,1435.0,1504.2,10620,2441317,Thursday,2011-07-01,1,27,False,False,22.049999999999955,1.49,True,False,-13.200000000000045,-0.89,False,False,150.70000000000005,11.5,True
2011-07-14,ABBOTINDIA,1476.05,1524.95,1431.5,1502.15,2725,922320,Thursday,2011-07-08,2,28,True,True,-2.0499999999999545,-0.14,False,False,-13.200000000000045,-0.89,False,False,150.70000000000005,11.5,True
2011-07-21,ABBOTINDIA,1500.0,1510.0,1453.35,1469.05,7376,1285419,Thursday,2011-07-15,3,29,False,False,-33.100000000000136,-2.2,False,False,-13.200000000000045,-0.89,False,False,150.70000000000005,11.5,True
2011-07-28,ABBOTINDIA,1495.0,1542.7,1431.25,1461.25,7130,5687185,Thursday,2011-07-22,4,30,True,True,-7.7999999999999545,-0.53,False,False,-13.200000000000045,-0.89,False,False,150.70000000000005,11.5,True
2011-08-04,ABBOTINDIA,1489.0,1490.0,1403.0,1440.5,7885,839812,Thursday,2011-07-29,1,31,False,False,-20.75,-1.42,False,True,11.25,0.77,True,False,150.70000000000005,11.5,True
2011-08-11,ABBOTINDIA,1403.0,1484.5,1389.0,1468.35,22777,19670016,Thursday,2011-08-05,2,32,True,True,27.84999999999991,1.93,True,True,11.25,0.77,True,False,150.70000000000005,11.5,True
2011-08-18,ABBOTINDIA,1470.0,1536.0,1402.25,1484.1,40011,22260016,Thursday,2011-08-12,3,33,False,False,15.75,1.07,True,True,11.25,0.77,True,False,150.70000000000005,11.5,True
2011-08-25,ABBOTINDIA,1460.0,1499.85,1429.75,1452.5,8132,788708,Thursday,2011-08-19,4,34,True,True,-31.59999999999991,-2.13,False,True,11.25,0.77,True,False,150.70000000000005,11.5,True
2011-09-01,ABBOTINDIA,1448.05,1484.0,1412.1,1480.2,19681,2603672,Thursday,2011-08-26,1,35,False,False,27.700000000000045,1.91,True,False,-60.350000000000136,-4.08,False,False,150.70000000000005,11.5,True
2011-09-08,ABBOTINDIA,1479.5,1625.0,1430.0,1537.9,25897,1830101,Thursday,2011-09-02,2,36,True,True,57.700000000000045,3.9,True,False,-60.350000000000136,-4.08,False,False,150.70000000000005,11.5,True
2011-09-15,ABBOTINDIA,1569.9,1569.9,1458.3,1513.5,6710,2391330,Thursday,2011-09-09,3,37,False,False,-24.40000000000009,-1.59,False,False,-60.350000000000136,-4.08,False,False,150.70000000000005,11.5,True
2011-09-22,ABBOTINDIA,1515.0,1568.8,1468.05,1477.4,7129,2024038,Thursday,2011-09-16,4,38,True,True,-36.09999999999991,-2.39,False,False,-60.350000000000136,-4.08,False,False,150.70000000000005,11.5,True
2011-09-29,ABBOTINDIA,1475.0,1499.95,1400.5,1422.85,4294,2336320,Thursday,2011-09-23,5,39,False,False,-54.55000000000018,-3.69,False,False,-60.350000000000136,-4.08,False,False,150.70000000000005,11.5,True
2011-10-06,ABBOTINDIA,1435.0,1490.0,1390.0,1444.55,14921,3644600,Thursday,2011-09-30,1,40,False,True,21.700000000000045,1.53,True,True,32.200000000000045,2.27,True,False,150.70000000000005,11.5,True
2011-10-13,ABBOTINDIA,1449.05,1469.65,1425.0,1450.15,10533,1759032,Thursday,2011-10-07,2,41,True,False,5.600000000000136,0.39,True,True,32.200000000000045,2.27,True,False,150.70000000000005,11.5,True
2011-10-20,ABBOTINDIA,1451.0,1505.0,1431.55,1463.5,5849,2785041,Thursday,2011-10-14,3,42,False,True,13.349999999999909,0.92,True,True,32.200000000000045,2.27,True,False,150.70000000000005,11.5,True
2011-10-27,ABBOTINDIA,1473.75,1475.0,1425.0,1445.45,2591,378708,Thursday,2011-10-21,4,43,True,False,-18.049999999999955,-1.23,False,True,32.200000000000045,2.27,True,False,150.70000000000005,11.5,True
2011-11-03,ABBOTINDIA,1470.0,1524.7,1435.0,1501.65,9735,4703168,Thursday,2011-10-28,1,44,False,True,56.200000000000045,3.89,True,False,14.100000000000136,0.97,True,False,150.70000000000005,11.5,True
2011-11-10,ABBOTINDIA,1465.0,1550.0,1465.0,1525.1,6968,3278965,Thursday,2011-11-04,2,45,True,False,23.449999999999818,1.56,True,False,14.100000000000136,0.97,True,False,150.70000000000005,11.5,True
2011-11-17,ABBOTINDIA,1525.0,1575.0,1475.0,1502.0,38746,1907540,Thursday,2011-11-11,3,46,False,True,-23.09999999999991,-1.51,False,False,14.100000000000136,0.97,True,False,150.70000000000005,11.5,True
2011-11-24,ABBOTINDIA,1490.0,1510.0,1402.05,1473.55,7488,668992,Thursday,2011-11-18,4,47,True,False,-28.450000000000045,-1.89,False,False,14.100000000000136,0.97,True,False,150.70000000000005,11.5,True
2011-12-01,ABBOTINDIA,1444.4,1505.0,1441.0,1459.8,4050,372249,Thursday,2011-11-25,1,48,False,True,-13.75,-0.93,False,True,-5.25,-0.36,False,False,150.70000000000005,11.5,True
2011-12-08,ABBOTINDIA,1498.8,1499.95,1451.05,1461.4,6670,574330,Thursday,2011-12-02,2,49,True,False,1.6000000000001364,0.11,True,True,-5.25,-0.36,False,False,150.70000000000005,11.5,True
2011-12-15,ABBOTINDIA,1487.5,1490.0,1400.0,1450.85,5032,2897348,Thursday,2011-12-09,3,50,False,True,-10.550000000000182,-0.72,False,True,-5.25,-0.36,False,False,150.70000000000005,11.5,True
2011-12-22,ABBOTINDIA,1436.0,1480.0,1381.0,1427.35,5368,789325,Thursday,2011-12-16,4,51,True,False,-23.5,-1.62,False,True,-5.25,-0.36,False,False,150.70000000000005,11.5,True
